# login;passwordHash;isAdmin
user;2686481592;0
admin;4013087375;1
operator1;59232089;1
operator2;2950232873;1
manager_anna;3654646623;1
maria_tourist;917336538;0
ivan_user;1128526738;0
alex_trip;645761153;0
kate_sun;3552092108;0
oleg_travel;2979343872;0
nina_holiday;3008283376;0
petr_client;4205317169;0
sergey_go;523574669;0
lena_beach;1976996742;0
maks_resort;690607819;0
elena_voyage;3884426693;0
dmitry_sea;3902426578;0
svetlana_ski;1631556429;0
andrey_city;3448186517;0
olga_island;626845183;0
viktor_cruise;4043277547;0
natalia_spa;392373371;0
roman_hike;3371863462;0
julia_wine;48337184;0
kirill_north;1517668183;0
tatiana_lake;1605150155;0
#checksum_accounts 1055043266
